HTRXBTCHSET2022081920220819001                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
D05  210000014728580030602829   7640000005000000000005000002 2025012415160020250124                                                                     5812271783            THIS IS MOCK FILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
D05  210000024728580030602829   7640000001000000000001000002 2025012515160020250125                                                                     5814271784            THIS IS MOCK FILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
D05  210000034728580030602829   7640000003000000000003000002 2025012615160020250126                                                                     5462271785            THIS IS MOCK FILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
T000000000135000000000000000000000000000000000000088000000552554502000000000006000000004399744   





H TRXBTCHSET 20220819 20220819 001

D05  210000014728580030602829   7640000005000000000005000002 2025012415160020250124                                                                     5812271783            THIS IS MOCK FILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         

D05  2 1000001 4728580030602829    764 000000500000 000000500000 2 20250124 151600 20250124                                                                      5812271783            THIS IS MOCK FILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         


D05	 410000014728580004716159	7640000030000000000030000002 2025012202375220250122      00000000042575380150003OISHI GRAND-SIAM PARAG                  4816937021            FIX059000590000010

T 000000000135 000000000000 000000000000000 000000000088 0000005525545 020000000000 0600000000439 9744
